Mamu-B-01-9	0.987804878049 	237	73
Mamu-B-03-10	0.984102104792 	251	77
Mamu-B-03-11	0.967037963173 	219	53
Mamu-B-03-8	0.965226656335 	236	58
Mamu-B-03-9	0.970135746606 	372	117
Mamu-B-08-10	0.980357794816 	248	83
Mamu-B-08-11	0.993841323512 	218	49
Mamu-B-08-8	0.97882378758 	235	49
Mamu-B-08-9	0.973761316872 	368	125
Mamu-B-17-10	0.924895977809 	552	140
Mamu-B-17-11	0.991268191268 	198	13
Mamu-B-17-9	0.949019607843 	678	270
Mamu-B-48-9	1.0 	60	40
Mamu-B-52-9	0.996148908858 	60	41
Patr-A-0101-10	0.936230585424 	178	54
Patr-A-0101-9	0.974248366013 	203	50
Patr-A-0301-10	0.98087431694 	152	30
Patr-A-0301-9	0.975 	169	24
Patr-A-0401-10	0.970303030303 	133	33
Patr-A-0401-9	0.955291740338 	144	37
Patr-A-0701-10	0.937990837696 	255	64
Patr-A-0701-9	0.924310983135 	287	66
Patr-A-0901-10	0.935457227139 	188	75
Patr-A-0901-11	0.95409167604 	239	127
Patr-A-0901-9	0.929025131179 	173	71
Patr-B-0101-10	0.965361445783 	222	56
Patr-B-0101-11	1.0 	65	21
Patr-B-0101-9	0.954887218045 	454	112
Patr-B-1301-10	0.991421568627 	65	48
Patr-B-1301-9	0.982401656315 	97	69
Patr-B-2401-10	0.970117845118 	130	22
Patr-B-2401-9	0.990396454075 	193	62
